iso3,country_display,year,wealth_pc,human_capital_pc,natural_capital_pc,produced_capital_pc,net_foreign_assets_pc,region,income_group,gini_index,population_total,gdp_per_capita_current_usd,education_expenditure_pct_gdp,lower_secondary_completion_rate,tertiary_enrolment_rate,school_life_expectancy,log_wealth_pc,human_capital_share,natural_capital_share,produced_capital_share
ALB,Albania,1996,12112.4828742768,4950.63738802067,4339.81476595797,2844.75775628551,-22.72703598731499,Europe & Central Asia,Upper middle income,27.0,3168033,1020.97618050188,3.08350992202759,89.97762,10.93945,10.22845,9.401991842309624,0.408721930871358,0.3582927473255219,0.2348616535365266
ALB,Albania,2002,14587.8631985366,5897.72673344873,3925.374528617955,4923.72568945668,-158.96375298671597,Europe & Central Asia,Upper middle income,31.7,3051010,1479.83884572006,3.11779999732971,,16.31143,10.70152,9.58794517421368,0.4042899671584778,0.269084956116927,0.337522063543248
ALB,Albania,2005,24157.3789722894,8244.5302301338,8200.940834202222,8163.84411089897,-451.936202945584,Europe & Central Asia,Upper middle income,30.6,3011487,2741.72136549578,3.28154993057251,,23.18983,11.41928,10.092345159917391,0.3412841368093363,0.3394797442060833,0.3379441172100502
ALB,Albania,2012,32169.6546504385,13657.9664272325,12369.41511360138,8004.7741913516,-1862.50108174697,Europe & Central Asia,Upper middle income,29.0,2860708,4280.93316338873,3.29533986928598,93.73105,59.25201,14.58665,10.3787788850321,0.4245605548347511,0.3845056854980186,0.2488299696820801
ALB,Albania,2014,33192.2991083501,14650.7098186602,13173.91798309345,7184.84368945282,-1817.1723828564195,Europe & Central Asia,Upper middle income,34.6,2773767,4793.59751131525,3.18177734553254,94.38111,65.78297,15.25242,10.41007317343119,0.4413888224746252,0.3968968205573721,0.2164611636572457
ALB,Albania,2015,26551.4177042562,12699.3121714205,9124.160786610557,6416.07434514597,-1688.1295989208195,Europe & Central Asia,Upper middle income,32.8,2731293,4199.53912925398,3.43796992301941,99.15678,62.00762,15.0763,10.18683842276826,0.4782913030434829,0.3436411903966977,0.2416471473053384
ALB,Albania,2016,27829.3343873308,13319.3914925494,9767.094333444797,6530.33794366358,-1787.4893823269804,Europe & Central Asia,Upper middle income,33.7,2689469,4457.63412207495,3.96209001541138,,58.38185,14.8046,10.23384593714196,0.4786097758275168,0.3509639935151029,0.2346566343547365
ALB,Albania,2017,27953.5818994761,14164.7680061464,8784.513764292276,7278.21618207039,-2273.9160530329896,Europe & Central Asia,Upper middle income,33.1,2648285,5006.36012951959,3.61172008514404,88.16437,57.37526,14.81613,10.238300624199654,0.5067246142939511,0.3142536006971226,0.2603679273820288
ALB,Albania,2018,34926.8127671223,16742.3116343824,12530.546241010572,8205.26009383819,-2551.30520210886,Europe & Central Asia,Upper middle income,30.1,2607733,5897.65452588774,3.08201370407389,96.33482,54.96133,14.69562,10.461010087348598,0.4793541210305471,0.3587658090808093,0.2349272505495278
ARG,Argentina,1998,54523.4094884632,34143.5025494192,6257.857723522859,15702.4232344284,-1580.3740189072505,Latin America & Caribbean,Upper middle income,50.7,36372860,8218.99212764682,4.03986978530884,,46.9607,13.93556,10.906385420327323,0.6262173050026107,0.1147737784968671,0.2879941548363906
ARG,Argentina,1999,54406.7782449755,33913.7681183269,5835.219266116645,16209.067752203,-1551.27689167098,Latin America & Caribbean,Upper middle income,49.8,36794682,7705.54288252851,4.52167987823486,80.33261,48.83172,14.99422,10.904244025173549,0.6233371872457611,0.1072516964677196,0.2979236829502933
ARG,Argentina,2000,57036.7287459752,35027.6350093224,7196.14913255615,16403.8204784445,-1590.8758743477993,Latin America & Caribbean,Upper middle income,51.0,37213984,7637.01489203628,4.58030986785889,85.19104,53.96481,15.53583,10.951450703267843,0.6141241929446055,0.126166932970607,0.2876010044598155
ARG,Argentina,2001,54114.2677711773,33828.2461205847,6029.25076934535,16621.9212009082,-2365.1503196609497,Latin America & Caribbean,Upper middle income,53.3,37624825,7141.47507662826,4.833740234375,85.56632,59.01155,16.16996,10.89885315966066,0.6251261915550214,0.1114170258172963,0.3071633764166255
ARG,Argentina,2002,20283.2615113349,9576.11075629399,4057.45900273223,7913.4363640323,-1263.74461172365,Latin America & Caribbean,Upper middle income,53.8,38029349,2569.69963519124,4.01734018325806,85.19427,62.74873,16.27959,9.917551268804642,0.4721188824066865,0.2000397717331997,0.3901461488138893
ARG,Argentina,2004,27659.669270316,13571.0617302678,4364.772464707,10900.5719977941,-1176.736922452929,Latin America & Caribbean,Upper middle income,48.5,38815916,4242.02099089422,3.48652005195618,79.16549,65.48537,16.22597,10.227730648181105,0.4906443962738227,0.1578027713220424,0.3940962522459534
ARG,Argentina,2005,36171.2982397708,17376.5161864414,5514.3239007701895,12888.5512251308,391.90692742843976,Latin America & Caribbean,Upper middle income,47.8,39216789,5067.65342293276,3.86000990867615,80.16696,63.96667,15.96781,10.49602121702446,0.4803951484200725,0.1524502622000755,0.3563198406564151
ARG,Argentina,2006,42078.5846874029,21443.1938925694,6426.05134930155,14086.6092915995,122.73015393248988,Latin America & Caribbean,Upper middle income,46.4,39622115,5869.38028970204,4.12821006774902,76.5989,66.96473,16.15229,10.647294212991468,0.509598743680865,0.1527154821636698,0.3347690849454026
ARG,Argentina,2007,47082.0553233349,24447.0124218289,6763.19106523721,15402.648608301,469.2032279677396,Latin America & Caribbean,Upper middle income,46.3,40016763,7185.25155147027,4.46260023117065,74.76325,66.41163,16.1728,10.759647216396996,0.519242676513156,0.143646895166134,0.3271447795242513
ARG,Argentina,2008,62295.6250137108,36695.4298550722,7103.929317634949,17227.4499027686,1268.8159382351296,Latin America & Caribbean,Upper middle income,45.0,40424148,8944.1102657357,4.84440994262695,76.43555,68.05695,16.34155,11.039646477810663,0.589053081127219,0.114035766012002,0.2765434956142902
ARG,Argentina,2009,56150.3921285352,33588.1366347934,5804.96814602233,15770.4210995824,986.8662481370602,Latin America & Caribbean,Upper middle income,43.8,40854831,8150.23527028221,5.53105020523071,77.73371,70.20646,16.67385,10.935788943731431,0.5981816931555171,0.103382504128093,0.2808603912058522
ARG,Argentina,2010,69244.6398110232,44244.6740392613,7458.15138159291,16682.3554643793,859.4589257896105,Latin America & Caribbean,Upper middle income,43.7,41288694,10260.1313108254,5.01971006393433,81.54738,73.2314,16.96805,11.145401017602854,0.6389617183367585,0.1077072738329939,0.2409190878876317
ARG,Argentina,2011,93709.8999840711,65182.9050749923,8575.84707030038,18882.1849874611,1068.9628513172902,Latin America & Caribbean,Upper middle income,42.7,41730660,12704.2831819684,5.29062986373901,85.26944,76.2974,17.17383,11.447959118825349,0.6955818444590395,0.0915148460489031,0.2014961598579308
ARG,Argentina,2012,108420.229912368,74899.6033808889,10971.26505084686,21255.2621036623,1294.0993769695197,Latin America & Caribbean,Upper middle income,41.4,42161721,12949.717486654,5.34582996368408,86.21025,77.44629,17.10737,11.593769973383637,0.6908268267040887,0.1011920474593581,0.1960451672242544
ARG,Argentina,2013,105502.149901521,71148.3496263727,9369.920999086571,23604.1885033697,1379.6907726915206,Latin America & Caribbean,Upper middle income,41.1,42582455,12963.675773326,5.43661022186279,88.45621,78.2239,17.09185,11.566486609904096,0.6743781969636143,0.0888126072106847,0.2237318246633133
ARG,Argentina,2014,98956.5916957042,65968.514812343,8582.60417088571,23187.6238977484,1217.84881472714,Latin America & Caribbean,Upper middle income,41.8,43024071,12233.1444119186,5.36144018173218,88.91632,80.99581,17.27014,11.502436565241489,0.6666409349990451,0.0867310001669983,0.2343211654767915
ARG,Argentina,2016,98859.1391845606,69065.3447362343,6627.638764752566,22142.626815912,1023.5288676617702,Latin America & Caribbean,Upper middle income,42.3,43900313,12699.9623137756,5.54548978805542,89.20531,87.21345,17.66886,11.50145127940407,0.6986237722270258,0.0670412348258403,0.2239815863111434
ARG,Argentina,2017,111832.447229079,79932.5607677114,7036.143179993381,24526.9272146641,336.81606670988003,Latin America & Caribbean,Upper middle income,41.4,44288894,14532.5009308511,5.45431995391846,89.81704,89.95852,17.6542,11.624757023258418,0.7147528534717347,0.0629168309764379,0.2193185235803955
ARM,Armenia,1996,5672.21710133269,2730.69321722641,1576.1850720181158,1460.52211269339,-95.183300605233,Europe & Central Asia,Upper middle income,44.4,3278735,487.068624404558,1.84843003749847,,16.93857,10.17812,8.643335343454895,0.4814154974048565,0.2778781284037577,0.2574869908188528
