year,median_log_wealth_pc,median_school_life_expectancy,median_tertiary_enrolment_rate,median_human_capital_share,median_natural_capital_share,median_produced_capital_share,median_education_expenditure_pct_gdp,median_gini_index,n_countries,n_school_obs,n_tertiary_obs,n_spend_obs,n_gini_obs
1995,10.102681438311912,11.400285,18.60041,0.5176676965626077,0.20500503629674377,0.24669675441297165,4.311234951019285,34.900000000000006,103,82,103,56,36
1996,10.228478319041017,11.89432,20.475865,0.5208173089104305,0.186319548290774,0.2574869908188528,4.37826013565063,35.5,98,76,98,55,32
1997,9.971331876450895,11.844584999999999,22.43676,0.5471951899952134,0.2019549944091901,0.2544853373933314,3.37947010993958,35.349999999999994,77,54,77,23,20
1998,10.440394065666435,12.87141,24.936729999999997,0.5682334781636313,0.1336356072863317,0.2636514594053105,4.196224927902225,36.6,78,61,78,50,33
1999,9.810115050195607,12.10177,21.469865,0.5503798238284576,0.2274061592476685,0.2290762049037658,4.11037015914917,36.5,113,91,110,71,36
2000,9.772678817924552,12.113765,21.951500000000003,0.5364464679450314,0.235055309705207,0.2299195234513633,4.01821994781494,34.349999999999994,104,84,100,73,44
2001,9.840917677821096,12.08907,22.33686,0.5456719945674662,0.24483003243941254,0.22031288140255023,4.0313401222229,37.0,107,90,102,75,32
2002,9.863177632412008,12.37417,23.34466,0.5452682016134296,0.2344942752545556,0.24035249996957744,4.119194984436035,35.8,113,91,109,80,53
2004,10.097680098597483,12.546610000000001,25.866495,0.5374854510867195,0.24313680562379364,0.21029293398650223,4.020279884338381,34.8,111,94,108,88,58
2005,10.242632577042178,12.69103,25.82298,0.5418789512127494,0.2332999908358335,0.2007302044202252,4.08661508560181,36.0,110,99,108,78,59
2006,10.461093016405112,12.89314,27.84253,0.5483136125512036,0.2365506270031764,0.2011736476328922,4.05038022994995,34.55,108,93,107,75,60
2007,10.588842032202567,13.16716,31.21858,0.5480745276272145,0.20534954444700826,0.2182653719234208,4.30934500694275,34.0,105,91,103,74,56
2008,10.748305648247335,13.17511,32.92892500000001,0.558940408703658,0.2257535277799531,0.1837209391282677,4.470290184021,33.8,110,92,108,81,65
2009,10.465550537641704,13.32562,33.38555,0.5794655205331332,0.2032291650887531,0.20372478892897483,4.77651977539062,33.4,107,90,105,83,59
2010,10.643615828822764,13.82675,34.63021,0.583810707788931,0.2343136163698345,0.1926370279842204,4.20651006698608,33.6,111,89,109,85,68
2011,10.88959678839094,13.72368,35.17035,0.5784647487769918,0.2413055761927366,0.151433746245361,4.083930015563965,33.599999999999994,112,93,111,94,62
2012,10.793854261563116,14.14079,38.90374,0.6079001185118735,0.2165640948035198,0.1698578069967656,4.38721990585327,35.150000000000006,112,89,111,93,70
2013,10.991812412620071,14.75538,40.183065,0.6113942703992179,0.20034372034325515,0.1701375603125735,4.54814004898071,35.1,105,85,104,91,59
2014,10.928589090763245,14.71322,43.383285,0.6289656985939601,0.183646480305661,0.1781874639572313,4.39978981018066,34.8,107,88,106,91,66
2015,10.734709109216611,14.685659999999999,45.59271,0.643969052355768,0.1593939014527243,0.1944094250115792,4.52978491783142,34.1,108,90,107,92,66
2016,10.938099957623184,15.09777,48.42201,0.6457400743344566,0.1435213859868947,0.1919062161718213,4.61547994613647,34.349999999999994,107,87,104,91,66
2017,10.98852913046214,15.006015,49.38187,0.6521918011830539,0.1504360401681457,0.1959071551059328,4.39752006530762,34.3,109,92,105,99,62
2018,11.229883596736425,15.44011,54.765905000000004,0.650911074934599,0.14165110017995636,0.22169934603900054,4.44177508354187,34.0,92,75,92,82,64
